;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;protocols_per_teacher;pupils_mean;interval_mean;interval_std;interval_mean_year_diff;interval_std_year_diff;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff;satisfaction;wish_to_change
49;116;17;4;13;0;1;2;6;8.5;7.59;19.0;13.0;18.0;1.0;1.0;0.53;0.3;0.5;0.3;0.51;0.3;0.03;0.01;0.01;0.0;0.09999999999999998;0.050000000000000044;0.06000000000000005;0.020000000000000018;0.12;0.10000000000000003;0.039999999999999994;-0.01;;2.8;2.8
50;117;48;6;15;27;2;4;13;12.0;16.06;16.0;10.0;4.0;5.0;0.82;0.5;0.36;0.59;0.36;0.52;0.36;-0.1;-0.01;-0.09;-0.16000000000000003;0.0;-0.010000000000000009;;;-0.010000000000000009;0.010000000000000009;;0.0;;3.92;1.67
51;118;75;18;33;24;4;11;16;6.8;18.08;12.0;7.0;1.0;-3.0;0.85;0.57;0.37;0.61;0.37;0.6;0.37;-0.06;-0.03;-0.01;0.0;0.029999999999999916;0.010000000000000009;;;0.030000000000000027;0.010000000000000009;;0.0;;3.6;2.64
52;119;83;24;42;17;6;11;14;7.5;17.66;22.0;20.0;5.0;5.0;0.74;0.42;0.28;0.52;0.28;0.46;0.31;-0.04;-0.04;-0.03;-0.07000000000000006;0.010000000000000009;0.11999999999999997;-0.020000000000000018;0.10999999999999999;-0.019999999999999962;0.09999999999999998;0.06999999999999999;0.010000000000000002;0.04;3.0;2.22
53;120;62;28;20;14;3;7;12;8.9;19.98;19.0;11.0;3.0;-1.0;0.85;0.56;0.34;0.59;0.34;0.59;0.33;-0.02;-0.03;0.03;0.050000000000000044;-0.029999999999999916;0.020000000000000018;-0.04999999999999993;0.010000000000000009;-0.05999999999999994;0.020000000000000018;0.04;0.03;0.03;3.72;2.07
54;121;67;23;24;20;4;8;19;8.4;12.0;12.0;12.0;-13.0;-9.0;0.74;0.46;0.38;0.6;0.37;0.54;0.37;-0.13;-0.09;-0.08;0.030000000000000027;0.03999999999999998;0.010000000000000009;;;0.050000000000000044;0.030000000000000027;;-0.009999999999999995;;3.29;2.43
55;122;42;16;16;10;2;4;16;10.5;8.52;16.0;14.0;3.0;7.0;0.97;0.51;0.36;0.53;0.36;0.51;0.36;-0.04;0.0;-0.02;-0.030000000000000027;-0.040000000000000036;0.0;-0.030000000000000027;0.020000000000000018;-0.050000000000000044;-0.010000000000000009;0.020000000000000004;-0.01;;;
56;123;54;27;27;0;2;4;13;13.5;10.37;10.0;10.0;-5.0;0.0;0.95;0.47;0.34;0.54;0.38;0.48;0.33;-0.03;-0.01;-0.03;-0.039999999999999925;-0.02999999999999997;-0.04999999999999999;;;-0.010000000000000009;-0.07;;-0.02;;3.5;1.46
57;124;69;10;25;34;2;4;14;17.2;5.22;10.0;5.0;1.0;2.0;1.0;0.36;0.29;0.37;0.29;0.36;0.29;0.01;-0.0;0.01;0.0;-0.07999999999999996;-0.009999999999999953;-0.10999999999999999;0.07999999999999996;-0.07999999999999996;-0.009999999999999953;0.060000000000000005;-0.0;0.060000000000000005;3.16;2.19
58;125;47;15;21;11;2;5;14;9.4;16.06;14.0;13.0;11.0;5.0;0.92;0.51;0.36;0.56;0.37;0.53;0.35;-0.04;-0.02;-0.03;-0.010000000000000009;-0.020000000000000018;0.010000000000000009;-0.039999999999999925;-0.020000000000000018;-0.040000000000000036;0.0;0.030000000000000002;0.03;0.03;3.86;1.86
59;126;89;21;39;29;3;7;19;12.7;14.34;11.0;8.0;-5.0;-5.0;0.93;0.68;0.34;0.73;0.33;0.7;0.33;-0.03;-0.02;-0.04;-0.029999999999999916;-0.05999999999999994;0.02999999999999997;;;-0.020000000000000018;0.020000000000000018;;-0.03;;3.33;2.08
60;127;40;10;17;13;1;2;17;20.0;4.22;8.0;6.0;0.0;-6.0;1.0;0.6;0.29;0.63;0.29;0.6;0.29;-0.01;0.0;-0.01;0.0;-0.020000000000000018;0.019999999999999962;-0.07000000000000006;0.02999999999999997;-0.020000000000000018;0.019999999999999962;0.02;0.0;0.02;3.95;1.3
61;128;103;29;41;33;4;8;19;12.9;7.78;9.0;7.0;1.0;2.0;0.93;0.49;0.38;0.53;0.38;0.51;0.37;-0.03;-0.03;-0.01;-0.08999999999999997;-0.040000000000000036;0.010000000000000009;-0.11000000000000004;-0.010000000000000009;-0.010000000000000009;0.0;0.06;-0.05;0.06;3.52;1.9
62;129;96;31;38;27;3;6;17;16.0;9.89;11.0;7.0;0.0;-1.0;0.91;0.52;0.38;0.59;0.34;0.55;0.36;-0.06;-0.03;-0.02;0.020000000000000018;-0.07000000000000006;0.020000000000000018;0.0;0.06;-0.12;0.030000000000000027;0.0;0.02;;3.74;2.17
63;130;33;5;17;11;2;5;11;6.6;4.45;23.0;14.0;3.0;-5.0;0.99;0.47;0.33;0.51;0.32;0.46;0.32;-0.04;0.0;-0.04;-0.010000000000000009;0.009999999999999953;0.030000000000000027;0.030000000000000027;0.06;0.0;0.020000000000000018;-0.04;0.01;-0.060000000000000005;3.0;2.0
64;131;40;11;17;12;2;5;11;8.0;6.53;14.0;10.0;-2.0;-2.0;1.0;0.48;0.38;0.56;0.38;0.49;0.38;-0.14;-0.0;-0.13;0.0;0.11000000000000004;0.050000000000000044;;;0.12000000000000005;0.050000000000000044;;-0.0;;3.75;2.0
65;132;29;2;14;13;1;2;11;14.5;3.03;13.0;6.0;-1.0;0.0;1.0;0.62;0.07;0.5;0.0;0.61;0.07;0.0;0.0;0.0;0.0;0.21999999999999997;0.13;;;0.20999999999999996;0.13;;0.0;;3.25;2.25
66;133;50;28;15;7;3;4;14;12.5;9.68;15.0;15.0;2.0;1.0;0.92;0.54;0.31;0.57;0.29;0.56;0.3;-0.05;-0.02;-0.05;-0.10999999999999999;0.010000000000000009;0.08999999999999997;0.06999999999999995;0.13;0.04999999999999993;0.07;-0.060000000000000005;-0.04;-0.060000000000000005;4.0;1.36
