;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m;scope_m_diff;pupils_m_diff;pupils_d_mean_diff;interactions_m_diff;interactions_d_mean_diff;attention_m_diff;attention_d_diff;vector_interact_m_diff;vector_intention_m_diff;vector_attention_m_diff
12;494;70.0;17;8;6;3;1;1;12;1.59;3.0;2.43;11.0;7.0;1.0;0.5;0.06;0.67;0.05;0.56;0.06;-0.02;0.0;-0.02;0.0;-0.9;0.1;-0.83;0.12;-0.88;0.12;-0.04;0.0;-0.08
13;497;75.0;8;3;3;2;1;1;8;5.0;;;14.0;10.0;0.93;0.41;0.34;;;0.49;0.35;;-0.08;;;;;;;;;;;
14;498;75.0;13;5;6;2;2;1;11;3.0;3.4;3.0;14.0;10.0;1.0;0.6;0.33;0.61;0.41;0.6;0.33;-0.08;0.0;-0.08;0.0;0.09999999999999998;-0.18;-0.06000000000000005;0.0;0.09999999999999998;-0.18;0.01999999999999999;0.0;0.01999999999999999
15;501;76.0;16;3;7;6;1;1;14;6.75;3.0;2.5;12.0;9.0;1.0;0.43;0.32;0.5;0.32;0.43;0.32;-0.07;0.0;-0.09;0.0;0.0;0.010000000000000009;;;0.0;0.010000000000000009;;0.0;
16;502;76.0;17;3;8;6;1;1;15;6.76;3.0;2.5;11.0;8.0;1.0;0.43;0.42;0.55;0.39;0.43;0.42;-0.12;0.0;-0.19;0.0;0.010000000000000009;0.0;;;0.010000000000000009;0.0;;0.0;
17;505;77.0;9;5;4;0;1;1;7;10.0;3.0;2.5;20.0;17.0;0.78;0.46;0.35;0.52;0.39;0.47;0.36;-0.08;-0.02;0.02;0.05999999999999994;0.08000000000000002;0.019999999999999962;0.26999999999999996;-0.040000000000000036;0.04999999999999999;0.030000000000000027;-0.18000000000000002;0.03;
18;506;77.0;8;5;3;0;1;1;7;9.5;3.0;1.5;23.0;17.0;0.86;0.58;0.28;0.59;0.29;0.62;0.27;-0.09;0.0;-0.03;0.010000000000000009;0.12;0.019999999999999962;0.12;0.19;0.25;-0.03999999999999998;-0.12;0.0;
19;510;68.0;3;2;1;0;1;1;3;21.0;;;35.0;20.0;0.96;0.28;0.29;0.31;0.28;0.3;0.29;-0.03;-0.01;-0.02;;;;;;;;;;
20;512;68.0;7;4;2;1;1;1;5;21.86;;;24.0;30.0;0.92;0.28;0.29;0.34;0.29;0.31;0.29;-0.07;-0.03;-0.07;0.039999999999999925;;;;;;;;;
21;514;68.0;5;2;3;0;1;1;4;19.2;;;10.0;6.0;0.81;0.48;0.37;0.59;0.37;0.38;0.36;-0.11;0.02;-0.06;;;;;;;;;;
22;515;68.0;5;2;3;0;1;1;4;18.8;;;10.0;5.0;0.9;0.48;0.37;0.66;0.36;0.49;0.36;-0.17;-0.02;-0.13;;;;;;;;;;
23;517;68.0;10;4;4;2;1;1;7;25.3;3.38;2.88;6.0;4.0;1.0;0.37;0.38;0.38;0.38;0.36;0.38;0.02;0.01;-0.0;0.0;0.15000000000000002;0.010000000000000009;0.18;0.0;0.16999999999999998;0.010000000000000009;-0.04;-0.02;-0.01
24;518;68.0;8;3;3;2;1;1;7;23.75;3.6;2.0;7.0;0.0;1.0;0.53;0.34;0.55;0.37;0.53;0.34;-0.04;-0.0;-0.04;0.0;-0.12000000000000005;-0.03999999999999998;;;-0.12000000000000005;-0.03999999999999998;;0.0;
25;520;68.0;10;3;6;1;1;1;7;18.8;;;20.0;37.0;0.86;0.56;0.36;0.6;0.34;0.55;0.38;-0.03;-0.03;0.05;0.18999999999999995;0.10999999999999999;-0.010000000000000009;0.12;-0.009999999999999953;0.10999999999999999;-0.07;0.0;0.05;-0.03
26;521;68.0;9;2;4;3;1;1;6;18.56;;;23.0;39.0;0.82;0.55;0.36;0.59;0.35;0.56;0.36;-0.05;-0.04;0.0;0.27;0.07999999999999996;-0.020000000000000018;0.050000000000000044;-0.04999999999999999;0.04999999999999993;-0.08000000000000002;0.04000000000000001;0.08;0.01
27;526;81.0;4;0;0;4;1;1;4;9.5;;;4.0;3.0;1.0;0.31;0.31;;;0.31;0.31;;0.0;;;;;;;;;;;
28;527;81.0;5;1;0;4;2;1;4;8.0;4.0;3.0;24.0;15.0;0.97;0.46;0.28;0.46;0.28;0.48;0.28;0.01;-0.01;0.02;0.040000000000000036;-0.02999999999999997;0.0;;;-0.04999999999999999;0.0;;0.02;
29;528;81.0;3;0;0;3;1;1;3;8.0;;;40.0;9.0;0.81;0.35;0.34;0.31;0.35;0.44;0.32;0.0;-0.06;;;;;;;;;;;
30;529;81.0;7;0;0;7;1;1;5;6.71;3.0;3.0;31.0;12.0;1.0;0.39;0.27;0.38;0.25;0.38;0.27;-0.02;0.0;-0.07;0.0;0.19;0.06;0.15999999999999998;0.05999999999999997;0.21000000000000002;0.04999999999999999;0.03;0.0;
31;533;79.0;17;6;6;5;1;1;11;8.76;3.6;2.4;10.0;6.0;0.91;0.53;0.38;0.64;0.32;0.58;0.36;-0.07;-0.05;-0.04;-0.06999999999999995;-0.05999999999999994;0.04999999999999999;-0.06000000000000005;0.04999999999999999;-0.050000000000000044;0.02999999999999997;0.020000000000000004;-0.010000000000000002;-0.019999999999999997
32;534;79.0;12;4;4;4;1;1;11;11.75;;;10.0;6.0;0.87;0.45;0.37;;;0.51;0.36;;-0.06;;;;;;;;;;;
33;535;79.0;13;4;4;5;1;1;10;9.54;4.0;1.33;13.0;9.0;0.96;0.3;0.31;0.39;0.3;0.3;0.3;-0.07;0.0;-0.13;-0.06000000000000005;-0.03999999999999998;-0.050000000000000044;;;-0.04999999999999999;-0.050000000000000044;;0.0;
34;536;79.0;9;2;4;3;1;1;6;10.44;3.5;2.5;14.0;7.0;0.93;0.2;0.22;0.26;0.26;0.23;0.21;-0.05;-0.02;-0.02;0.10999999999999999;-0.01999999999999999;-0.12000000000000002;;;-0.08000000000000002;-0.12000000000000002;;0.04;
35;539;82.0;19;8;5;6;1;1;14;9.84;3.83;1.5;10.0;6.0;0.73;0.42;0.35;0.65;0.35;0.52;0.33;-0.22;-0.1;-0.12;-0.050000000000000044;0.15999999999999998;0.06;0.050000000000000044;0.07;0.10999999999999999;0.08000000000000002;0.18999999999999997;0.05;0.14
36;540;82.0;18;8;5;5;1;1;14;10.06;4.0;1.17;11.0;7.0;0.81;0.5;0.35;0.62;0.35;0.55;0.35;-0.06;-0.04;-0.02;-0.15000000000000002;-0.14000000000000007;0.02999999999999997;0.040000000000000036;0.030000000000000027;-0.06999999999999995;0.03999999999999998;-0.039999999999999994;-0.11;0.01
37;544;80.0;8;1;3;4;1;1;7;10.62;3.33;3.0;21.0;15.0;0.85;0.43;0.32;0.5;0.23;0.48;0.26;-0.04;-0.03;-0.02;0.17999999999999994;0.010000000000000009;0.06;0.09999999999999998;0.14;-0.14999999999999997;0.19000000000000003;0.05;0.010000000000000002;
38;545;80.0;8;1;3;4;1;1;7;11.5;3.33;2.67;21.0;15.0;0.88;0.34;0.31;0.31;0.34;0.38;0.28;-0.05;-0.02;-0.07;-0.10000000000000009;0.22;-0.08999999999999997;0.07;0.03999999999999998;0.24999999999999997;-0.15;0.07;0.0;
39;546;80.0;10;3;5;2;1;1;7;12.7;2.8;2.8;13.0;6.0;0.79;0.34;0.35;0.46;0.34;0.38;0.34;-0.1;-0.04;-0.05;-0.050000000000000044;0.22999999999999998;0.14;0.33999999999999997;0.10000000000000003;0.33999999999999997;0.10999999999999999;-0.13;-0.11;-0.009999999999999995
40;547;80.0;11;3;5;3;1;1;7;9.82;2.67;2.5;11.0;8.0;1.0;0.58;0.4;0.59;0.4;0.58;0.4;-0.02;0.0;-0.02;0.0;-0.10999999999999999;0.009999999999999953;-0.13;0.019999999999999962;-0.10999999999999999;0.009999999999999953;0.03;0.0;0.03
41;548;80.0;2;1;1;0;1;1;2;19.0;;;28.0;;0.97;0.63;0.39;0.59;0.41;0.67;0.37;0.04;-0.04;0.08;;;;;;;;;;
42;549;80.0;2;1;1;0;1;1;2;10.0;;;25.0;;1.0;0.6;0.44;0.56;0.44;0.6;0.44;0.04;0.0;0.04;;;;;;;;;;
43;550;80.0;2;1;1;0;1;1;2;9.0;;;18.0;;1.0;0.83;0.33;0.87;0.28;0.83;0.33;-0.04;0.0;-0.04;;;;;;;;;;
44;551;80.0;2;1;1;0;1;1;2;8.0;;;18.0;;1.0;0.88;0.22;0.92;0.18;0.88;0.22;-0.05;0.0;-0.05;;;;;;;;;;
45;555;78.0;12;3;6;3;1;1;11;6.25;3.83;2.0;16.0;16.0;0.92;0.41;0.33;0.5;0.35;0.43;0.31;-0.09;-0.04;-0.04;0.12;-0.010000000000000009;-0.04999999999999999;0.010000000000000009;0.04999999999999999;-0.12;-0.11000000000000001;0.1;0.05;
46;556;78.0;12;4;5;3;1;1;11;6.25;3.5;2.67;11.0;6.0;1.0;0.5;0.35;0.53;0.36;0.52;0.33;0.0;0.0;-0.03;0.0;-0.18;0.11000000000000004;-0.26;0.07;-0.20999999999999996;0.12;0.06;0.0;
47;557;78.0;10;3;4;3;1;1;10;5.3;;;9.0;4.0;1.0;0.54;0.35;0.63;0.35;0.51;0.35;-0.04;0.0;-0.03;;;;;;;;;;
48;558;78.0;12;3;6;3;1;1;11;5.83;3.67;2.17;16.0;17.0;0.89;0.37;0.31;0.28;0.27;0.42;0.3;-0.04;-0.04;0.05;0.17000000000000004;0.14;0.040000000000000036;0.16;0.07;0.19000000000000006;0.06999999999999995;0.010000000000000002;0.05;
49;561;83.0;11;2;3;6;1;1;8;6.09;3.0;2.0;17.0;10.0;1.0;0.49;0.39;0.62;0.4;0.48;0.38;-0.12;0.0;-0.11;0.0;0.03999999999999998;0.06999999999999995;0.030000000000000027;0.0;0.03999999999999998;0.06999999999999995;-0.030000000000000013;0.0;
50;562;83.0;7;1;2;4;1;1;6;7.86;;;16.0;11.0;1.0;0.36;0.41;0.48;0.44;0.36;0.4;-0.1;0.0;;;;;;;;;;;
51;565;84.0;22;5;11;6;1;1;17;4.05;3.33;1.67;7.0;7.0;0.98;0.54;0.44;0.54;0.41;0.53;0.45;-0.0;0.01;-0.0;-0.020000000000000018;0.010000000000000009;0.020000000000000018;;;0.0;0.020000000000000018;;0.01;
