;teacher_id;org_id;protocols;protocols_base;protocols_complicated;protocols_targeted;curators;teachers;prot_templates;pupils_mean;satisfaction;wish_to_change;interval_mean;interval_std;scope_m;pupils_m;pupils_d_mean;interactions_m;interactions_d_mean;attention_m;attention_d_mean;vector_interact_m;vector_intention_m;vector_attention_m
231;879;118.0;3;0;2;1;1;1;3;20.33;4.0;2.0;18.0;21.0;0.9;0.51;0.39;0.7;0.32;0.6;0.3;-0.2;-0.1;-0.09
232;883;120.0;4;4;0;0;1;1;4;18.5;4.0;1.75;21.0;7.0;0.91;;;;;;;;;
233;884;120.0;4;4;0;0;1;1;4;18.5;4.0;2.5;21.0;7.0;0.8;;;;;;;;;
234;886;120.0;5;1;1;3;1;1;5;15.0;3.8;1.8;16.0;18.0;0.99;0.79;0.25;0.79;0.23;0.79;0.25;0.01;0.0;0.01
235;887;120.0;4;1;0;3;1;1;4;15.5;3.0;2.5;19.0;17.0;0.81;0.41;0.32;0.54;0.36;0.56;0.31;-0.2;-0.15;0.03
236;889;;0;0;0;0;0;0;0;;;;;;;;;;;;;;;
237;890;120.0;6;2;3;1;1;1;6;23.0;3.83;2.0;14.0;12.0;0.77;0.48;0.37;0.52;0.37;0.55;0.37;-0.04;-0.07;0.03
238;891;126.0;4;1;1;2;1;1;4;15.0;3.25;2.0;12.0;5.0;0.95;0.69;0.4;0.83;0.24;0.74;0.35;-0.17;-0.06;0.0
239;895;126.0;5;0;4;1;1;1;5;18.2;3.4;2.2;19.0;18.0;0.99;0.49;0.34;0.7;0.34;0.5;0.33;-0.22;-0.01;-0.2
240;896;126.0;6;2;3;1;1;1;6;19.33;3.0;2.17;15.0;10.0;0.97;0.64;0.34;0.66;0.36;0.65;0.33;-0.04;-0.01;-0.03
241;897;126.0;5;0;3;2;1;1;5;8.0;3.2;2.0;18.0;13.0;1.0;0.93;0.18;0.81;0.23;0.86;0.2;0.11;0.06;0.01
242;898;126.0;8;2;4;2;1;1;7;12.75;3.75;2.0;10.0;9.0;0.89;0.77;0.34;0.79;0.32;0.79;0.29;0.0;-0.02;0.01
243;899;126.0;6;2;2;2;1;1;6;13.0;3.0;2.33;11.0;6.0;0.96;0.72;0.38;0.69;0.39;0.72;0.38;0.03;0.0;0.03
244;900;126.0;2;0;2;0;1;1;2;15.0;4.0;1.5;6.0;;1.0;0.7;0.38;0.71;0.38;0.7;0.39;-0.01;0.0;-0.02
